Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.0345734
2,Intensity 2,36,0,0.1,0.4,0.0111489
3,Intensity 3,36,0,0.15,0.4,0.00543893
4,Intensity 4,36,0,0.2,0.4,0.0031793
5,Intensity 5,36,0,0.25,0.4,0.00206108
6,Intensity 6,36,0,0.3,0.4,0.0014297
7,Intensity 7,36,0,0.35,0.4,0.00104049
8,Intensity 8,36,0,0.4,0.4,0.000784946
9,Intensity 9,35,0,0.45,0.4,0.000608986
10,Intensity 10,36,0,0.5,0.4,0.000483218
11,Intensity 11,36,0,0.7,0.4,0.000224384
12,Intensity 12,36,0,0.9,0.4,0.000122791
13,Intensity 13,36,0,1.3,0.4,4.83373e-05
14,Intensity 14,36,0,1.8,0.4,2.00663e-05
15,Intensity 15,35,0,2.6,0.4,6.94532e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Story Drift Ratio,1,1,1.326e-05,2.231e-05,1.727e-05,2.094e-05,2.522e-05,2.69e-05,1.333e-05,1.627e-05,1.927e-05,1.661e-05,2.868e-05,1.921e-05,1.666e-05,1.638e-05,1.369e-05,2.208e-05,1.569e-05,1.799e-05,2.919e-05,2.055e-05,1.836e-05,1.335e-05,2.232e-05,2.177e-05,1.795e-05,1.457e-05,1.541e-05,2.001e-05,2.202e-05,1.74e-05,1.852e-05,1.184e-05,1.282e-05,1.652e-05,1.595e-05,1.213e-05
1,Story Drift Ratio,1,2,3.682e-05,4.801e-05,3.39e-05,5.443e-05,6.809e-05,4.817e-05,2.892e-05,4.184e-05,4.57e-05,4.087e-05,4.096e-05,4.309e-05,3.805e-05,5.016e-05,3.162e-05,3.813e-05,3.151e-05,5.906e-05,2.946e-05,4.078e-05,2.647e-05,2.878e-05,3.984e-05,4.745e-05,5.174e-05,4.039e-05,5.131e-05,3.12e-05,3.152e-05,3.549e-05,3.862e-05,3.616e-05,3.246e-05,2.954e-05,4.143e-05,4.475e-05
1,Story Drift Ratio,2,1,1.814e-05,3.099e-05,2.065e-05,3.04e-05,3.57e-05,4.002e-05,1.859e-05,2.204e-05,2.789e-05,2.38e-05,4.061e-05,2.547e-05,1.99e-05,2.153e-05,1.837e-05,2.864e-05,2.183e-05,2.721e-05,3.794e-05,2.999e-05,2.633e-05,1.898e-05,3.202e-05,3.042e-05,2.313e-05,2.224e-05,2.204e-05,2.875e-05,3.315e-05,2.288e-05,2.342e-05,1.706e-05,1.621e-05,2.32e-05,2.392e-05,1.781e-05
1,Story Drift Ratio,2,2,6.784e-05,8.475e-05,5.935e-05,0.0001227,0.0001254,8.975e-05,5.692e-05,7.589e-05,8.36e-05,8.251e-05,7.319e-05,7.39e-05,5.749e-05,9.556e-05,5.793e-05,5.934e-05,6.145e-05,0.0001002,5.051e-05,5.527e-05,4.626e-05,5.501e-05,7.616e-05,9.275e-05,6.909e-05,7.84e-05,0.0001063,5.522e-05,5.602e-05,6.527e-05,7.312e-05,4.767e-05,5.836e-05,6.441e-05,9.956e-05,7.49e-05
1,Story Drift Ratio,3,1,3.161e-05,5.195e-05,2.851e-05,4.123e-05,4.639e-05,5.389e-05,3.185e-05,3.403e-05,3.773e-05,3.354e-05,5.786e-05,3.782e-05,2.731e-05,2.982e-05,3.096e-05,4.343e-05,3.058e-05,3.736e-05,5.284e-05,4.131e-05,4.656e-05,3.903e-05,4.332e-05,4.92e-05,3.071e-05,3.551e-05,2.851e-05,5.054e-05,5.275e-05,3.218e-05,3.389e-05,2.766e-05,2.42e-05,3.956e-05,3.785e-05,2.596e-05
1,Story Drift Ratio,3,2,9.211e-05,0.0001163,7.839e-05,0.000143,0.0001476,0.0001184,7.795e-05,0.000101,0.0001014,0.0001038,9.509e-05,9.594e-05,8.092e-05,0.0001101,8.648e-05,8.279e-05,9.149e-05,0.0001269,8.174e-05,8.059e-05,9.349e-05,7.734e-05,9.234e-05,0.0001209,9.567e-05,9.478e-05,0.0001294,7.581e-05,8.033e-05,8.373e-05,9.868e-05,8.565e-05,7.537e-05,8.645e-05,0.0001203,9.871e-05
1,Story Drift Ratio,4,1,2.31e-05,2.329e-05,2.312e-05,2.105e-05,2.66e-05,3.495e-05,2.103e-05,2.606e-05,2.691e-05,2.286e-05,3.891e-05,2.649e-05,2.29e-05,2.277e-05,1.854e-05,2.312e-05,1.812e-05,2.207e-05,2.969e-05,2.977e-05,2.767e-05,2.062e-05,2.225e-05,3.051e-05,2.711e-05,1.656e-05,2.15e-05,3.026e-05,3.629e-05,3.017e-05,2.91e-05,2.171e-05,1.706e-05,2.733e-05,2.351e-05,1.735e-05
1,Story Drift Ratio,4,2,3.543e-05,5.242e-05,4.026e-05,6.232e-05,6.134e-05,4.73e-05,2.878e-05,5.026e-05,4.568e-05,4.805e-05,4.94e-05,4.453e-05,3.874e-05,5.589e-05,3.106e-05,4.162e-05,2.991e-05,5.497e-05,3.747e-05,4.486e-05,2.485e-05,3.49e-05,4.645e-05,4.84e-05,4.371e-05,5.634e-05,5.573e-05,3.506e-05,4.284e-05,3.747e-05,4.015e-05,3.042e-05,3.706e-05,3.462e-05,5.823e-05,4.977e-05
1,Story Drift Ratio,5,1,3.957e-05,3.883e-05,3.409e-05,3.918e-05,4.689e-05,5.738e-05,3.493e-05,4.24e-05,4.713e-05,4.139e-05,6.343e-05,4.377e-05,3.501e-05,3.818e-05,3.353e-05,4.056e-05,3.044e-05,3.582e-05,5.024e-05,4.781e-05,4.507e-05,3.746e-05,3.797e-05,5.319e-05,4.448e-05,3.219e-05,3.855e-05,5.06e-05,6.017e-05,4.506e-05,4.642e-05,3.617e-05,2.66e-05,4.628e-05,3.743e-05,3.096e-05
1,Story Drift Ratio,5,2,7.043e-05,0.0001006,6.662e-05,0.0001116,0.0001351,9.298e-05,5.785e-05,7.66e-05,9.092e-05,9.963e-05,7.945e-05,9.173e-05,7.265e-05,9.623e-05,6.042e-05,7.753e-05,5.834e-05,0.00013,7.086e-05,8.779e-05,5.67e-05,6.394e-05,8.358e-05,9.992e-05,0.0001085,8.887e-05,9.331e-05,6.671e-05,8.924e-05,7.49e-05,7.159e-05,7.248e-05,6.586e-05,6.179e-05,0.000102,0.0001043
