Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.0380985
2,Intensity 2,36,0,0.1,0.4,0.0124143
3,Intensity 3,36,0,0.15,0.4,0.00609767
4,Intensity 4,36,0,0.2,0.4,0.00358298
5,Intensity 5,36,0,0.25,0.4,0.00233271
6,Intensity 6,36,0,0.3,0.4,0.00162405
7,Intensity 7,36,0,0.35,0.4,0.00118572
8,Intensity 8,36,0,0.4,0.4,0.000897082
9,Intensity 9,36,0,0.45,0.4,0.000697801
10,Intensity 10,36,0,0.5,0.4,0.000555018
11,Intensity 11,36,0,0.55,0.4,0.000449611
12,Intensity 12,36,0,0.6,0.4,0.000369856
13,Intensity 13,36,0,0.65,0.4,0.000308247
14,Intensity 14,36,0,0.7,0.4,0.00025981
15,Intensity 15,36,0,0.75,0.4,0.000221145
16,Intensity 16,36,0,0.8,0.4,0.000189867
17,Intensity 17,36,0,0.85,0.4,0.000164269
18,Intensity 18,36,0,0.9,0.4,0.000143099
19,Intensity 19,36,0,0.95,0.4,0.00012543
20,Intensity 20,36,0,1,0.4,0.000110558
21,Intensity 21,36,0,1.1,0.4,8.71765e-05
22,Intensity 22,36,0,1.2,0.4,6.99254e-05
23,Intensity 23,35,0,1.3,0.4,5.69109e-05
24,Intensity 24,36,0,1.4,0.4,4.69043e-05
25,Intensity 25,36,0,1.5,0.4,3.90832e-05
26,Intensity 26,36,0,1.6,0.4,3.28821e-05
27,Intensity 27,36,0,1.7,0.4,2.79032e-05
28,Intensity 28,36,0,1.8,0.4,2.38604e-05
29,Intensity 29,36,0,2.6,0.4,8.36049e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Story Drift Ratio,1,1,8.066e-05,8.964e-05,8.744e-05,8.946e-05,8.816e-05,6.713e-05,0.0001008,8.419e-05,7.929e-05,0.0001031,7.878e-05,9.695e-05,9.49e-05,7.174e-05,0.0001045,8.419e-05,8.138e-05,0.0001248,0.0001187,8.637e-05,0.0001204,9.425e-05,8.247e-05,0.0001018,8.77e-05,6.638e-05,0.0001031,0.0001138,9.176e-05,5.928e-05,6.082e-05,0.000102,7.234e-05,7.785e-05,7.76e-05,0.0001123
1,Story Drift Ratio,1,2,9.101e-05,8.359e-05,5.024e-05,8.185e-05,8.598e-05,0.0001027,9.582e-05,8.645e-05,9.782e-05,9.263e-05,0.000101,8.641e-05,0.0001007,0.0001136,6.088e-05,8.633e-05,0.0001017,9.712e-05,8.061e-05,0.0001036,6.448e-05,0.0001046,0.0001056,7.164e-05,6.659e-05,0.0001003,7.474e-05,6.911e-05,9.096e-05,0.0001106,0.0001184,9.214e-05,0.000103,0.0001076,0.0001156,8.049e-05
1,Story Drift Ratio,2,1,0.0001707,0.0001927,0.0001905,0.0001896,0.0001873,0.000145,0.0002152,0.0001759,0.0001657,0.0002128,0.0001654,0.0002075,0.0002041,0.0001557,0.0002163,0.0001674,0.0001714,0.0002341,0.0002498,0.0001803,0.0002458,0.0001778,0.0001723,0.0002144,0.0001882,0.0001416,0.0002285,0.0002489,0.0001782,0.0001334,0.0001247,0.0001667,0.0001388,0.0001623,0.0001601,0.000226
1,Story Drift Ratio,2,2,0.0001973,0.0001813,0.000108,0.0001746,0.000173,0.000229,0.0001978,0.0001753,0.0002118,0.000193,0.0002237,0.0001708,0.0002197,0.0002529,0.0001415,0.0001745,0.0002182,0.0001665,0.0001645,0.0002166,0.0001448,0.0002149,0.0002357,0.0001537,0.0001551,0.000221,0.0001587,0.0001428,0.0001952,0.0002421,0.0002544,0.0001999,0.0002236,0.000226,0.0002417,0.0001712
1,Story Drift Ratio,3,1,0.0002388,0.0002729,0.0002724,0.0002661,0.0002633,0.0002059,0.0003038,0.0002448,0.0002326,0.0002941,0.000232,0.0002933,0.0002893,0.0002223,0.0003048,0.0002289,0.0002447,0.0003101,0.0003512,0.0002542,0.0003404,0.0002522,0.0002425,0.0003003,0.0002675,0.0002015,0.000329,0.0003551,0.000244,0.0001962,0.0001745,0.0002353,0.0001822,0.0002272,0.0002223,0.0003086
1,Story Drift Ratio,3,2,0.0002814,0.0002608,0.0001584,0.0002521,0.0002471,0.0003299,0.0002855,0.0002495,0.0002993,0.0002777,0.0003226,0.0002383,0.0003134,0.0003624,0.0002109,0.0002564,0.0003072,0.0002206,0.0002321,0.0003135,0.0002085,0.0003028,0.0003414,0.0002182,0.0002249,0.0003227,0.0002288,0.0002061,0.0002762,0.0003449,0.000363,0.0002906,0.0003195,0.0003163,0.0003371,0.0002414
1,Story Drift Ratio,4,1,0.0002975,0.0003404,0.0003418,0.0003305,0.0003273,0.0002574,0.0003783,0.0003025,0.0002893,0.0003619,0.0002895,0.0003658,0.0003616,0.0002786,0.0003787,0.0002807,0.000309,0.0003732,0.0004369,0.0003174,0.0004191,0.0003149,0.0003016,0.0003726,0.0003342,0.000252,0.0004143,0.0004449,0.0003016,0.0002509,0.0002164,0.0002928,0.0002285,0.0002818,0.0002742,0.0003771
1,Story Drift Ratio,4,2,0.0003533,0.0003292,0.0002022,0.0003194,0.0003103,0.000417,0.000361,0.0003156,0.0003746,0.0003519,0.0004081,0.0002991,0.000394,0.0004562,0.000271,0.0003268,0.0003832,0.0002778,0.0002906,0.0003964,0.0002632,0.000382,0.000432,0.0002735,0.0002845,0.0004111,0.0002893,0.0002609,0.0003505,0.0004327,0.0004568,0.0003694,0.0004018,0.0003941,0.0004179,0.0003011
1,Story Drift Ratio,5,1,0.0003571,0.0004066,0.0004156,0.0003917,0.0003894,0.0003084,0.0004534,0.0003524,0.0003416,0.0004251,0.0003477,0.0004374,0.0004357,0.0003386,0.0004551,0.0003173,0.0003861,0.0003967,0.0005143,0.0003797,0.0004842,0.0003943,0.0003569,0.0004398,0.0004036,0.0003023,0.0005101,0.0005408,0.0003562,0.0003205,0.0002561,0.0003475,0.0002799,0.0003442,0.0003202,0.0004285
1,Story Drift Ratio,5,2,0.0004372,0.0004065,0.0002558,0.0003985,0.0003769,0.0005147,0.0004486,0.000393,0.0004514,0.0004407,0.0005075,0.0003613,0.0004797,0.0005553,0.0003484,0.0004151,0.0004567,0.000339,0.0003493,0.00049,0.0003267,0.0004757,0.0005375,0.0003325,0.0003526,0.00052,0.0003697,0.0003259,0.0004392,0.0005252,0.0005586,0.0004679,0.0004902,0.0004722,0.0004858,0.0003605
