Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.037277
2,Intensity 2,36,0,0.1,0.4,0.0121145
3,Intensity 3,36,0,0.15,0.4,0.00594069
4,Intensity 4,36,0,0.2,0.4,0.00348653
5,Intensity 5,36,0,0.25,0.4,0.00226774
6,Intensity 6,36,0,0.3,0.4,0.00157754
7,Intensity 7,36,0,0.35,0.4,0.00115097
8,Intensity 8,36,0,0.4,0.4,0.000870264
9,Intensity 9,36,0,0.45,0.4,0.000676573
10,Intensity 10,36,0,0.5,0.4,0.000537869
11,Intensity 11,36,0,0.55,0.4,0.000435523
12,Intensity 12,36,0,0.6,0.4,0.000358118
13,Intensity 13,36,0,0.65,0.4,0.00029835
14,Intensity 14,36,0,0.7,0.4,0.000251377
15,Intensity 15,36,0,0.75,0.4,0.000213895
16,Intensity 16,34,0,0.8,0.4,0.000183584
17,Intensity 17,35,0,0.85,0.4,0.000158785
18,Intensity 18,35,0,0.9,0.4,0.000138283
19,Intensity 19,36,0,0.95,0.4,0.000121175
20,Intensity 20,36,0,1,0.4,0.00010678
21,Intensity 21,34,0,1.1,0.4,8.41569e-05
22,Intensity 22,34,0,1.2,0.4,6.74733e-05
23,Intensity 23,33,0,1.3,0.4,5.48923e-05
24,Intensity 24,30,0,1.4,0.4,4.52231e-05
25,Intensity 25,34,0,1.5,0.4,3.76687e-05
26,Intensity 26,31,0,1.6,0.4,3.16812e-05
27,Intensity 27,29,0,1.7,0.4,2.68754e-05
28,Intensity 28,27,0,1.8,0.4,2.29745e-05
29,Intensity 29,29,0,1.9,0.4,1.97762e-05
30,Intensity 30,29,0,2,0.4,1.71302e-05
31,Intensity 31,28,0,2.2,0.4,1.30682e-05
32,Intensity 32,29,0,2.4,0.4,1.01628e-05
33,Intensity 33,24,0,2.6,0.4,8.03382e-06
34,Intensity 34,28,0,2.8,0.4,6.44122e-06
35,Intensity 35,28,0,3,0.4,5.22845e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Story Drift Ratio,1,1,2.06434e-05,1.60801e-05,2.20432e-05,1.92341e-05,1.54756e-05,1.79396e-05,2.33328e-05,1.68544e-05,1.59274e-05,1.96433e-05,2.01312e-05,1.61121e-05,2.14738e-05,1.99256e-05,1.35906e-05,1.899e-05,1.27752e-05,2.04192e-05,2.07963e-05,1.93778e-05,2.18112e-05,2.20615e-05,1.50131e-05,1.95143e-05,1.37501e-05,1.81566e-05,1.57559e-05,2.06661e-05,2.06877e-05,1.68637e-05,1.62676e-05,1.83226e-05,1.46389e-05,1.76954e-05,1.49793e-05,1.54388e-05
1,Story Drift Ratio,1,2,2.07676e-05,2.37537e-05,2.23568e-05,2.37715e-05,2.77723e-05,2.08134e-05,1.98662e-05,2.23199e-05,2.10027e-05,2.20192e-05,2.29312e-05,2.03933e-05,2.36169e-05,2.49033e-05,1.91954e-05,1.83857e-05,2.54657e-05,1.74358e-05,1.63835e-05,2.4615e-05,2.45088e-05,2.0189e-05,2.21873e-05,2.9408e-05,2.51434e-05,2.40509e-05,2.43855e-05,2.34203e-05,2.32537e-05,2.80766e-05,1.93258e-05,1.8999e-05,2.34901e-05,2.72783e-05,2.28691e-05,2.14906e-05
1,Story Drift Ratio,2,1,3.28287e-05,2.70262e-05,2.56176e-05,2.8107e-05,2.27878e-05,2.72948e-05,3.12818e-05,2.79984e-05,2.74171e-05,3.03403e-05,2.91824e-05,2.32124e-05,2.58266e-05,2.65789e-05,2.43061e-05,2.14849e-05,2.39077e-05,3.19242e-05,2.74426e-05,2.39148e-05,3.24302e-05,3.40524e-05,2.33294e-05,2.37716e-05,2.30283e-05,2.92538e-05,2.40361e-05,2.90636e-05,2.67906e-05,2.442e-05,2.34721e-05,2.56314e-05,2.31128e-05,3.00156e-05,2.30592e-05,2.50937e-05
1,Story Drift Ratio,2,2,2.70131e-05,2.6889e-05,2.25668e-05,2.92512e-05,2.958e-05,2.31161e-05,2.06391e-05,2.61815e-05,2.53345e-05,2.42834e-05,2.22892e-05,2.19287e-05,2.44746e-05,2.49585e-05,2.35056e-05,2.38048e-05,2.99378e-05,1.95554e-05,1.90539e-05,3.27991e-05,3.1591e-05,2.16083e-05,2.53264e-05,3.37927e-05,2.91138e-05,3.01887e-05,2.58953e-05,2.43019e-05,2.59293e-05,3.06448e-05,2.50058e-05,2.41585e-05,2.56404e-05,3.22566e-05,2.52256e-05,2.50885e-05
1,Acceleration,1,1,0.0268211,0.0240501,0.0481717,0.0349703,0.042549,0.0380574,0.026218,0.029082,0.0287034,0.0253413,0.040348,0.0326404,0.0503776,0.0469827,0.0172589,0.031795,0.0171213,0.030822,0.0417373,0.0427531,0.0285649,0.0263278,0.0312437,0.0443406,0.0347263,0.0269764,0.0362434,0.0378999,0.040868,0.0370978,0.0248689,0.0369076,0.0379705,0.0207201,0.0300886,0.0297293
1,Acceleration,1,2,0.0284065,0.0243492,0.0482443,0.0349836,0.042414,0.0373843,0.0262238,0.0256507,0.0269055,0.0264819,0.040881,0.0326815,0.0479211,0.0466915,0.0145947,0.0305151,0.025791,0.0314013,0.0295452,0.028636,0.0241277,0.0176695,0.0458976,0.0268421,0.0385147,0.0309796,0.033959,0.039353,0.0258567,0.043443,0.0306794,0.0394546,0.0416021,0.0204882,0.0360978,0.0424889
1,Acceleration,2,1,0.0370133,0.0349914,0.04984,0.0437305,0.047402,0.0411728,0.050257,0.0376408,0.0352207,0.0430549,0.0460613,0.0412016,0.0512409,0.0507141,0.0322432,0.0453837,0.0326229,0.0439465,0.0547029,0.0487763,0.0512551,0.0471877,0.0393469,0.0496505,0.0358796,0.0370746,0.0433564,0.0475479,0.0589203,0.0441637,0.0338857,0.0500216,0.0445485,0.035742,0.0400293,0.038505
1,Acceleration,2,2,0.0422057,0.0377355,0.0492633,0.0467456,0.0499707,0.0489802,0.0359845,0.0350998,0.0398332,0.0427093,0.0445789,0.0389042,0.0484213,0.0472485,0.0387471,0.0409057,0.0497274,0.0396433,0.0337996,0.0511953,0.0449913,0.0394014,0.0484823,0.0483012,0.0549805,0.0486983,0.0522056,0.0497391,0.0530858,0.0514722,0.0421757,0.0428395,0.0537308,0.0503957,0.0484672,0.047655
1,Acceleration,3,1,0.0642738,0.0589738,0.051149,0.0591921,0.0511486,0.0572726,0.0900595,0.0575945,0.0638878,0.0715947,0.0656854,0.0552733,0.0526202,0.0558347,0.0515411,0.0625133,0.0504127,0.071977,0.0660478,0.0630893,0.0806116,0.080253,0.0504494,0.0574134,0.0471358,0.0619344,0.0513411,0.0623246,0.0623475,0.0511438,0.0469458,0.0520794,0.0468261,0.0716055,0.0525059,0.0527833
1,Acceleration,3,2,0.0633366,0.0670673,0.0503775,0.0779755,0.0558237,0.0638298,0.0515036,0.0695007,0.0671919,0.0681631,0.0544155,0.0541768,0.0491595,0.0485985,0.0648197,0.0651563,0.0832753,0.0493556,0.0460008,0.089399,0.0838968,0.0576892,0.0666956,0.0851611,0.079324,0.087735,0.0760318,0.0697498,0.0751496,0.0690868,0.0578169,0.062481,0.0676479,0.0878267,0.072432,0.0678209
1,Residual Drift,,,8.10051e-06,9.31215e-06,9.76467e-06,8.56161e-06,8.93652e-06,8.88816e-06,8.87299e-06,8.20827e-06,1.17226e-05,8.83687e-06,8.81863e-06,8.87161e-06,8.9345e-06,8.90344e-06,8.88122e-06,8.88115e-06,8.88108e-06,8.88135e-06,8.88124e-06,8.8838e-06,8.88115e-06,8.88138e-06,8.88257e-06,8.88001e-06,8.88129e-06,8.88063e-06,8.88126e-06,8.88131e-06,8.88516e-06,8.87527e-06,8.88109e-06,8.8812e-06,8.88122e-06,8.58736e-06,8.88143e-06,8.88068e-06
2,Story Drift Ratio,1,1,3.98858e-05,3.55727e-05,4.83003e-05,4.89395e-05,3.71438e-05,3.86163e-05,3.88406e-05,3.63155e-05,3.73645e-05,4.04295e-05,4.21901e-05,3.72243e-05,4.56267e-05,3.93943e-05,3.03578e-05,4.46719e-05,2.82866e-05,4.43739e-05,4.82515e-05,3.52123e-05,4.59543e-05,5.45938e-05,4.38626e-05,4.2185e-05,3.36244e-05,3.37565e-05,3.26628e-05,4.54785e-05,4.49946e-05,3.82543e-05,3.50788e-05,4.16887e-05,2.92582e-05,3.80697e-05,2.98179e-05,3.71648e-05
2,Story Drift Ratio,1,2,3.57845e-05,3.91521e-05,4.46657e-05,4.55597e-05,7.45343e-05,3.54261e-05,4.31682e-05,4.72075e-05,3.84065e-05,4.09012e-05,4.62696e-05,4.66739e-05,4.97064e-05,5.82903e-05,4.26945e-05,4.37827e-05,5.22095e-05,3.68354e-05,3.93364e-05,6.25883e-05,4.65373e-05,3.5192e-05,4.78095e-05,6.53641e-05,6.1568e-05,4.55876e-05,4.26425e-05,5.24076e-05,5.45901e-05,5.70754e-05,3.82843e-05,3.45799e-05,5.42192e-05,4.96401e-05,5.00777e-05,5.02449e-05
2,Story Drift Ratio,2,1,5.61192e-05,4.6123e-05,5.10712e-05,5.86867e-05,5.11465e-05,5.0049e-05,5.1434e-05,4.25975e-05,4.85909e-05,5.29282e-05,6.13942e-05,4.11224e-05,4.9166e-05,4.61721e-05,4.45833e-05,4.43383e-05,4.21841e-05,6.13986e-05,4.64669e-05,4.48563e-05,5.66428e-05,7.18207e-05,5.14181e-05,4.30689e-05,4.52197e-05,4.27861e-05,3.9756e-05,5.8103e-05,5.7578e-05,4.13115e-05,4.71303e-05,5.48131e-05,3.90028e-05,5.94363e-05,4.11663e-05,4.38172e-05
2,Story Drift Ratio,2,2,4.65184e-05,4.67262e-05,4.67339e-05,6.28454e-05,8.44281e-05,4.61493e-05,4.84443e-05,5.32293e-05,5.03263e-05,4.6015e-05,5.00717e-05,5.3287e-05,5.37882e-05,5.87239e-05,5.27418e-05,5.69975e-05,5.92354e-05,4.45216e-05,4.14148e-05,8.05968e-05,5.53246e-05,4.43791e-05,4.86646e-05,7.43569e-05,7.2474e-05,5.10136e-05,4.42682e-05,6.10627e-05,6.8696e-05,6.38301e-05,4.77261e-05,4.56339e-05,6.11545e-05,6.3028e-05,5.50514e-05,5.8044e-05
