Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.00362319
2,Intensity 2,35,0,0.1,0.4,0.000908382
3,Intensity 3,35,0,0.15,0.4,0.000374865
4,Intensity 4,34,0,0.2,0.4,0.000192581
5,Intensity 5,31,0,0.25,0.4,0.000112208
6,Intensity 6,33,0,0.3,0.4,7.10073e-05
7,Intensity 7,23,0,0.35,0.4,4.76529e-05
8,Intensity 8,13,0,0.4,0.4,3.34216e-05
9,Intensity 9,17,0,0.45,0.4,2.42617e-05
10,Intensity 10,14,0,0.5,0.4,1.8107e-05

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Story Drift Ratio,1,1,0.003586,0.003077,0.002007,0.005042,0.002941,0.002925,0.002514,0.002514,0.002593,0.002786,0.002449,0.002281,0.002488,0.002481,0.002693,0.005975,0.002222,0.003201,0.003169,0.003564,0.008771,0.003743,0.00551,0.003148,0.01063,0.004502,0.005128,0.004151,0.001645,0.003611,0.001617,0.006608,0.004474,0.004148,0.004492,0.007812
1,Story Drift Ratio,1,2,0.00389,0.002875,0.003507,0.003039,0.003365,0.004154,0.002553,0.002482,0.002607,0.004691,0.004207,0.002753,0.002794,0.002228,0.002153,0.00717,0.002981,0.005279,0.003427,0.005007,0.008724,0.00507,0.005641,0.003436,0.01013,0.005424,0.006348,0.003964,0.006617,0.002797,0.003712,0.004628,0.006022,0.003704,0.006338,0.009182
1,Story Drift Ratio,2,1,0.004726,0.004539,0.002757,0.006723,0.003994,0.004058,0.003622,0.003166,0.003606,0.003779,0.003188,0.002966,0.003734,0.003476,0.003725,0.007126,0.003024,0.00422,0.004238,0.004328,0.01272,0.004673,0.007655,0.004055,0.01409,0.005713,0.005929,0.005374,0.002138,0.004987,0.002197,0.008349,0.00585,0.004721,0.00614,0.009944
1,Story Drift Ratio,2,2,0.004975,0.003355,0.004195,0.003811,0.004115,0.005262,0.00319,0.003014,0.003291,0.005671,0.005243,0.003352,0.003649,0.002833,0.00243,0.007991,0.003691,0.006088,0.004161,0.00579,0.01031,0.006151,0.007139,0.004141,0.01213,0.006171,0.007054,0.00504,0.008313,0.003082,0.004551,0.005376,0.007835,0.004312,0.007111,0.01146
1,Story Drift Ratio,3,1,0.007176,0.006564,0.004579,0.007695,0.006564,0.006985,0.005833,0.00496,0.005652,0.006996,0.00557,0.004264,0.005642,0.002931,0.005647,0.01216,0.004657,0.005576,0.006423,0.006597,0.02023,0.006738,0.01037,0.007645,0.01656,0.007201,0.008742,0.005611,0.002308,0.007448,0.003009,0.01245,0.007491,0.006202,0.009507,0.01113
1,Story Drift Ratio,3,2,0.007393,0.00412,0.006962,0.003283,0.007139,0.004779,0.002474,0.00357,0.003229,0.004481,0.00595,0.003832,0.002546,0.004809,0.002901,0.007682,0.003744,0.005769,0.003418,0.00489,0.01052,0.007012,0.008118,0.003392,0.007606,0.007532,0.007047,0.005917,0.008634,0.003291,0.005058,0.004329,0.006811,0.008479,0.006815,0.01222
1,Story Drift Ratio,4,1,0.007596,0.009782,0.004384,0.01256,0.006975,0.006871,0.006494,0.00403,0.005508,0.006553,0.006134,0.00415,0.006037,0.01006,0.006323,0.01014,0.005026,0.005467,0.005909,0.005199,0.01944,0.005649,0.007927,0.004541,0.01523,0.006662,0.008179,0.005925,0.001907,0.006749,0.003722,0.01106,0.007467,0.005386,0.009161,0.01919
1,Story Drift Ratio,4,2,0.006621,0.003656,0.003438,0.007281,0.006326,0.006261,0.003448,0.004365,0.004251,0.005909,0.00548,0.003227,0.004202,0.007022,0.003009,0.0105,0.004241,0.007579,0.0048,0.007087,0.01495,0.006814,0.005648,0.006875,0.01707,0.007921,0.007726,0.006138,0.009,0.003593,0.005621,0.00642,0.009279,0.006925,0.007499,0.01513
1,Story Drift Ratio,5,1,0.00486,0.005755,0.00278,0.006709,0.004681,0.003769,0.004778,0.003048,0.003204,0.003939,0.003506,0.002718,0.003824,0.004289,0.004513,0.006086,0.003162,0.003648,0.003433,0.0042,0.01168,0.003663,0.006017,0.003499,0.008095,0.005466,0.007241,0.005924,0.001989,0.004529,0.002648,0.008351,0.005137,0.004039,0.005416,0.008396
1,Story Drift Ratio,5,2,0.004131,0.002841,0.003175,0.002209,0.002855,0.004104,0.001799,0.002624,0.002519,0.00402,0.004541,0.002827,0.002525,0.003325,0.00225,0.008811,0.003337,0.005322,0.002937,0.00404,0.008043,0.004677,0.004763,0.002901,0.008907,0.005747,0.004996,0.00381,0.007327,0.002346,0.003982,0.003123,0.006512,0.003796,0.004273,0.008599
