Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,36,0,0.05,0.4,0.038517
2,Intensity 2,36,0,0.1,0.4,0.012558
3,Intensity 3,36,0,0.15,0.4,0.00617161
4,Intensity 4,36,0,0.2,0.4,0.00362823
5,Intensity 5,36,0,0.25,0.4,0.00236325
6,Intensity 6,36,0,0.3,0.4,0.001646
7,Intensity 7,36,0,0.35,0.4,0.00120222
8,Intensity 8,36,0,0.4,0.4,0.000909907
9,Intensity 9,36,0,0.45,0.4,0.000708027
10,Intensity 10,36,0,0.5,0.4,0.000563342
11,Intensity 11,36,0,0.7,0.4,0.000264028
12,Intensity 12,36,0,0.9,0.4,0.000145577
13,Intensity 13,36,0,1.3,0.4,5.80026e-05
14,Intensity 14,36,0,1.8,0.4,2.43653e-05
15,Intensity 15,36,0,2.6,0.4,8.55964e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22,EQ23,EQ24,EQ25,EQ26,EQ27,EQ28,EQ29,EQ30,EQ31,EQ32,EQ33,EQ34,EQ35,EQ36
1,Story Drift Ratio,1,1,9.873e-05,0.0001039,0.0001278,7.602e-05,8.884e-05,0.0001309,0.0001065,9.329e-05,0.0001197,9.629e-05,0.0001065,0.0001257,0.0001272,9.394e-05,0.0001014,8.533e-05,9.001e-05,8.035e-05,0.0001044,0.0001001,0.0001442,8.471e-05,0.0001021,8.108e-05,8.914e-05,0.0001166,0.0001127,0.0001022,6.188e-05,7.534e-05,7.821e-05,0.0001245,0.000154,8.372e-05,7.131e-05,8.142e-05
1,Story Drift Ratio,1,2,9.305e-05,7.863e-05,8.192e-05,9.99e-05,7.554e-05,8.241e-05,8.721e-05,7.171e-05,8.362e-05,7.142e-05,7.619e-05,8.34e-05,9.572e-05,7.586e-05,6.592e-05,7.33e-05,9.748e-05,8.31e-05,5.541e-05,8.091e-05,5.958e-05,7.429e-05,9.466e-05,7.411e-05,9.775e-05,0.0001174,7.825e-05,9.671e-05,7.336e-05,9.39e-05,0.0001022,7.89e-05,7.38e-05,8.774e-05,9.953e-05,9.911e-05
1,Story Drift Ratio,2,1,0.0001905,0.0003066,0.0003837,0.0004351,0.0004804,0.0004255,0.000384,0.0004543,0.0004033,0.0004182,0.0003997,0.0003526,0.0004255,0.0002829,0.0004228,0.0002509,0.0005637,0.0003475,0.0002419,0.0004003,0.0002926,0.0004887,0.0003718,0.0003684,0.0004005,0.0004054,0.000419,0.000417,0.0003529,0.0003268,0.0004249,0.0002894,0.0002297,0.0004167,0.0004365,0.0004349
1,Story Drift Ratio,2,2,0.0004881,0.0006997,0.000599,0.0007804,0.0007011,0.0006685,0.0006813,0.0006413,0.0007032,0.0006397,0.0006975,0.0006103,0.0006796,0.0005803,0.0005773,0.0006478,0.000692,0.0006723,0.0005367,0.0007482,0.0006529,0.0007983,0.0006717,0.0006464,0.0006869,0.00062,0.0006725,0.0007212,0.0005926,0.0006297,0.0006293,0.0005929,0.0005435,0.0007315,0.0007691,0.00073
1,Story Drift Ratio,3,1,0.000122,0.0001617,0.0001504,0.0001214,0.0001293,0.000157,0.0001399,0.0001217,0.000175,0.0001373,0.0001514,0.0001593,0.0001444,0.0001265,0.0001618,0.0001162,0.0001624,0.0001275,0.0001344,0.0001326,0.0001938,0.0001587,0.0001413,0.0001232,0.0001529,0.000164,0.0001751,0.0001289,0.0001043,0.0001121,0.0001168,0.0001525,0.0001829,0.0001035,0.0001252,0.0001504
1,Story Drift Ratio,3,2,8.05e-05,7.682e-05,7.783e-05,9.285e-05,8.339e-05,8.679e-05,8.019e-05,7.757e-05,8.381e-05,8.716e-05,7.866e-05,8.928e-05,7.468e-05,7.754e-05,6.345e-05,7.298e-05,9.46e-05,6.959e-05,7.37e-05,7.59e-05,7.221e-05,8.454e-05,7.648e-05,8.648e-05,8.184e-05,0.0001032,8.363e-05,6.895e-05,7.831e-05,7.378e-05,7.371e-05,8.476e-05,6.769e-05,8.43e-05,9.457e-05,9.489e-05
1,Story Drift Ratio,4,1,0.0001471,0.000311,0.0003481,0.0004458,0.0004915,0.000397,0.0003191,0.0003862,0.000329,0.0003807,0.0003523,0.0003386,0.0004354,0.000267,0.0003353,0.0002087,0.0004932,0.0002865,0.0001824,0.000339,0.0001594,0.0004447,0.0003353,0.0003603,0.0003691,0.0003912,0.0003368,0.0003895,0.0003452,0.0002512,0.0004164,0.0002362,0.0002897,0.000365,0.0004153,0.0003892
1,Story Drift Ratio,4,2,0.0004424,0.0006796,0.0005501,0.0007829,0.0007042,0.0006584,0.0006812,0.0006381,0.0007033,0.0006034,0.0006618,0.0005635,0.0006832,0.0005488,0.0005799,0.0006199,0.0006713,0.0006645,0.0004988,0.0007154,0.0006277,0.0007988,0.0006863,0.0006352,0.0006776,0.0006211,0.0006232,0.0006928,0.0006095,0.0005968,0.0005933,0.000571,0.000466,0.0007238,0.0007408,0.000726
1,Story Drift Ratio,5,1,0.0001221,0.0002218,0.0001571,0.0002097,0.0001976,0.0002123,0.0002082,0.0002029,0.0002431,0.0002167,0.0001958,0.0001898,0.0002145,0.0001748,0.0002421,0.0001783,0.000281,0.0002009,0.0001729,0.0002021,0.0002387,0.000282,0.000213,0.0001677,0.0002283,0.0002236,0.0002657,0.0001802,0.0001518,0.0001821,0.0002063,0.000168,0.0001951,0.0001983,0.0002029,0.00024
1,Story Drift Ratio,5,2,9.269e-05,0.0001109,0.0001089,0.0001291,0.0001229,0.0001186,0.0001221,0.0001339,0.0001298,0.0001363,0.0001324,0.0001097,0.0001366,0.0001022,0.0001095,0.0001123,0.0001499,0.0001006,9.014e-05,0.0001211,0.000134,0.0001576,0.0001168,0.0001193,0.0001275,0.0001072,0.0001329,0.0001269,0.0001278,0.0001029,0.0001159,9.401e-05,8.801e-05,0.0001292,0.0001292,0.0001519
