ID,Units,Location,Direction,Theta_0,Blocks,Family,Theta_1,Comment
B.10.41.002b,ea,"1,2,3,4,5,6","1,2",34,NaN,,,
B.10.41.002b,ea,"7,8,9,10","1,2",60,NaN,,,
B.10.49.002a,ea,"1,2,3,4,5,6","0",23,NaN,,,
B.10.49.002a,ea,"7,8,9,10","0",40,NaN,,,
B.20.22.001,ft2,"1","1, 2",294.1984188,NaN,,,
B.20.22.001,ft2,"10","1, 2",2562.140603,NaN,,,
B.20.22.001,ft2,"2","1, 2",294.1984188,NaN,,,
B.20.22.001,ft2,"3","1, 2",294.1984188,NaN,,,
B.20.22.001,ft2,"4","1, 2",294.1984188,NaN,,,
B.20.22.001,ft2,"5","1, 2",294.1984188,NaN,,,
B.20.22.001,ft2,"6","1, 2",294.1984188,NaN,,,
B.20.22.001,ft2,"7","1, 2",2562.140603,NaN,,,
B.20.22.001,ft2,"8","1, 2",2562.140603,NaN,,,
B.20.22.001,ft2,"9","1, 2",2562.140603,NaN,,,
B.30.11.011,ft2,"1","0",1818.6811344,NaN,,,
B.30.11.011,ft2,"10","0",15838.687364,NaN,,,
B.30.11.011,ft2,"2","0",1818.6811344,NaN,,,
B.30.11.011,ft2,"3","0",1818.6811344,NaN,,,
B.30.11.011,ft2,"4","0",1818.6811344,NaN,,,
B.30.11.011,ft2,"5","0",1818.6811344,NaN,,,
B.30.11.011,ft2,"6","0",1818.6811344,NaN,,,
B.30.11.011,ft2,"7","0",15838.687364,NaN,,,
B.30.11.011,ft2,"8","0",15838.687364,NaN,,,
B.30.11.011,ft2,"9","0",15838.687364,NaN,,,
C.10.11.001a,ft,"1","1, 2",149.77374048,NaN,,,
C.10.11.001a,ft,"10","1, 2",1304.3624888,NaN,,,
C.10.11.001a,ft,"2","1, 2",149.77374048,NaN,,,
C.10.11.001a,ft,"3","1, 2",149.77374048,NaN,,,
C.10.11.001a,ft,"4","1, 2",149.77374048,NaN,,,
C.10.11.001a,ft,"5","1, 2",149.77374048,NaN,,,
C.10.11.001a,ft,"6","1, 2",149.77374048,NaN,,,
C.10.11.001a,ft,"7","1, 2",1304.3624888,NaN,,,
C.10.11.001a,ft,"8","1, 2",1304.3624888,NaN,,,
C.10.11.001a,ft,"9","1, 2",1304.3624888,NaN,,,
C.20.11.001a,ea,"1","1, 2",0.1872171756,NaN,,,
C.20.11.001a,ea,"10","1, 2",1.630453111,NaN,,,
C.20.11.001a,ea,"2","1, 2",0.1872171756,NaN,,,
C.20.11.001a,ea,"3","1, 2",0.1872171756,NaN,,,
C.20.11.001a,ea,"4","1, 2",0.1872171756,NaN,,,
C.20.11.001a,ea,"5","1, 2",0.1872171756,NaN,,,
C.20.11.001a,ea,"6","1, 2",0.1872171756,NaN,,,
C.20.11.001a,ea,"7","1, 2",1.630453111,NaN,,,
C.20.11.001a,ea,"8","1, 2",1.630453111,NaN,,,
C.20.11.001a,ea,"9","1, 2",1.630453111,NaN,,,
C.30.11.001a,ft,"1","1, 2",37.93554883872,NaN,,,
C.30.11.001a,ft,"10","1, 2",330.3763846632,NaN,,,
C.30.11.001a,ft,"2","1, 2",37.93554883872,NaN,,,
C.30.11.001a,ft,"3","1, 2",37.93554883872,NaN,,,
C.30.11.001a,ft,"4","1, 2",37.93554883872,NaN,,,
C.30.11.001a,ft,"5","1, 2",37.93554883872,NaN,,,
C.30.11.001a,ft,"6","1, 2",37.93554883872,NaN,,,
C.30.11.001a,ft,"7","1, 2",330.3763846632,NaN,,,
C.30.11.001a,ft,"8","1, 2",330.3763846632,NaN,,,
C.30.11.001a,ft,"9","1, 2",330.3763846632,NaN,,,
C.30.32.001a,ft2,"1","0",2674.53108,NaN,,,
C.30.32.001a,ft2,"10","0",23292.1873,NaN,,,
C.30.32.001a,ft2,"2","0",2674.53108,NaN,,,
C.30.32.001a,ft2,"3","0",2674.53108,NaN,,,
C.30.32.001a,ft2,"4","0",2674.53108,NaN,,,
