ID,Units,Location,Direction,Theta_0,Blocks,Family,Theta_1,Comment
B.10.41.002b,ea,"1,2,3,12","1,2",8,NaN,,,
B.10.41.002b,ea,"4,5,6,7,8,9,10,11","1,2",40,NaN,,,
B.10.49.002a,ea,"1,2,3,12","0",2,NaN,,,
B.10.49.002a,ea,"4,5,6,7,8,9,10,11","0",19,NaN,,,
B.20.22.001,ft2,"1","1, 2",163.39752,NaN,,,
B.20.22.001,ft2,"10","1, 2",1476.49788,NaN,,,
B.20.22.001,ft2,"11","1, 2",1476.49788,NaN,,,
B.20.22.001,ft2,"12","1, 2",163.39752,NaN,,,
B.20.22.001,ft2,"2","1, 2",163.39752,NaN,,,
B.20.22.001,ft2,"3","1, 2",163.39752,NaN,,,
B.20.22.001,ft2,"4","1, 2",163.39752,NaN,,,
B.20.22.001,ft2,"5","1, 2",1476.49788,NaN,,,
B.20.22.001,ft2,"6","1, 2",1476.49788,NaN,,,
B.20.22.001,ft2,"7","1, 2",1476.49788,NaN,,,
B.20.22.001,ft2,"8","1, 2",1476.49788,NaN,,,
B.20.22.001,ft2,"9","1, 2",1476.49788,NaN,,,
B.30.11.011,ft2,"1","0",1010.09376,NaN,,,
B.30.11.011,ft2,"10","0",9127.44144,NaN,,,
B.30.11.011,ft2,"11","0",9127.44144,NaN,,,
B.30.11.011,ft2,"12","0",1010.09376,NaN,,,
B.30.11.011,ft2,"2","0",1010.09376,NaN,,,
B.30.11.011,ft2,"3","0",1010.09376,NaN,,,
B.30.11.011,ft2,"4","0",1010.09376,NaN,,,
B.30.11.011,ft2,"5","0",9127.44144,NaN,,,
B.30.11.011,ft2,"6","0",9127.44144,NaN,,,
B.30.11.011,ft2,"7","0",9127.44144,NaN,,,
B.30.11.011,ft2,"8","0",9127.44144,NaN,,,
B.30.11.011,ft2,"9","0",9127.44144,NaN,,,
C.10.11.001a,ft,"1","1, 2",83.184192,NaN,,,
C.10.11.001a,ft,"10","1, 2",751.671648,NaN,,,
C.10.11.001a,ft,"11","1, 2",751.671648,NaN,,,
C.10.11.001a,ft,"12","1, 2",83.184192,NaN,,,
C.10.11.001a,ft,"2","1, 2",83.184192,NaN,,,
C.10.11.001a,ft,"3","1, 2",83.184192,NaN,,,
C.10.11.001a,ft,"4","1, 2",83.184192,NaN,,,
C.10.11.001a,ft,"5","1, 2",751.671648,NaN,,,
C.10.11.001a,ft,"6","1, 2",751.671648,NaN,,,
C.10.11.001a,ft,"7","1, 2",751.671648,NaN,,,
C.10.11.001a,ft,"8","1, 2",751.671648,NaN,,,
C.10.11.001a,ft,"9","1, 2",751.671648,NaN,,,
C.20.11.001a,ea,"1","1, 2",0.10398024,NaN,,,
C.20.11.001a,ea,"10","1, 2",0.93958956,NaN,,,
C.20.11.001a,ea,"11","1, 2",0.93958956,NaN,,,
C.20.11.001a,ea,"12","1, 2",0.10398024,NaN,,,
C.20.11.001a,ea,"2","1, 2",0.10398024,NaN,,,
C.20.11.001a,ea,"3","1, 2",0.10398024,NaN,,,
C.20.11.001a,ea,"4","1, 2",0.10398024,NaN,,,
C.20.11.001a,ea,"5","1, 2",0.93958956,NaN,,,
C.20.11.001a,ea,"6","1, 2",0.93958956,NaN,,,
C.20.11.001a,ea,"7","1, 2",0.93958956,NaN,,,
C.20.11.001a,ea,"8","1, 2",0.93958956,NaN,,,
C.20.11.001a,ea,"9","1, 2",0.93958956,NaN,,,
C.30.11.001a,ft,"1","1, 2",21.069367488,NaN,,,
C.30.11.001a,ft,"10","1, 2",190.387690272,NaN,,,
C.30.11.001a,ft,"11","1, 2",190.387690272,NaN,,,
C.30.11.001a,ft,"12","1, 2",21.069367488,NaN,,,
C.30.11.001a,ft,"2","1, 2",21.069367488,NaN,,,
C.30.11.001a,ft,"3","1, 2",21.069367488,NaN,,,
C.30.11.001a,ft,"4","1, 2",21.069367488,NaN,,,
C.30.11.001a,ft,"5","1, 2",190.387690272,NaN,,,
C.30.11.001a,ft,"6","1, 2",190.387690272,NaN,,,
C.30.11.001a,ft,"7","1, 2",190.387690272,NaN,,,
C.30.11.001a,ft,"8","1, 2",190.387690272,NaN,,,
C.30.11.001a,ft,"9","1, 2",190.387690272,NaN,,,
C.30.32.001a,ft2,"1","0",1485.432,NaN,,,
C.30.32.001a,ft2,"10","0",13422.708,NaN,,,
C.30.32.001a,ft2,"11","0",13422.708,NaN,,,
C.30.32.001a,ft2,"12","0",1485.432,NaN,,,
