ID,Units,Location,Direction,Theta_0,Blocks,Family,Theta_1,Comment
B.10.41.002b,ea,"1,2","1,2",30,NaN,,,
B.10.49.001a,ea,"1,2","0",16,NaN,,,
B.20.22.001,ft2,"1","1, 2",438.0948,NaN,,,
B.20.22.001,ft2,"2","1, 2",438.0948,NaN,,,
B.30.11.011,ft2,"1","0",2708.2224,NaN,,,
B.30.11.011,ft2,"2","0",2708.2224,NaN,,,
C.10.11.001a,ft,"1","1, 2",223.03008,NaN,,,
C.10.11.001a,ft,"2","1, 2",223.03008,NaN,,,
C.20.11.001a,ea,"1","1, 2",0.2787876,NaN,,,
C.20.11.001a,ea,"2","1, 2",0.2787876,NaN,,,
C.30.11.001a,ft,"1","1, 2",56.49033312,NaN,,,
C.30.11.001a,ft,"2","1, 2",56.49033312,NaN,,,
C.30.32.001a,ft2,"1","0",3982.68,NaN,,,
C.30.32.001a,ft2,"2","0",3982.68,NaN,,,
C.30.34.001,ea,"1","0",119.4804,NaN,,,
C.30.34.001,ea,"2","0",119.4804,NaN,,,
D.10.14.011,ea,"1","0",0.1593072,NaN,,,
D.20.21.011a,ft,"1","0",119.4804,NaN,,,
D.20.21.011a,ft,"2","0",119.4804,NaN,,,
D.30.41.011a,ft,"1","0",199.134,NaN,,,
D.30.41.011a,ft,"2","0",199.134,NaN,,,
D.30.41.031a,ea,"1","0",19.9134,NaN,,,
D.30.41.031a,ea,"2","0",19.9134,NaN,,,
D.30.41.041a,ea,"1","0",15.93072,NaN,,,
D.30.41.041a,ea,"2","0",15.93072,NaN,,,
D.40.11.021a,ft,"1","0",716.8824,NaN,,,
D.40.11.021a,ft,"2","0",716.8824,NaN,,,
D.40.11.031a,ea,"1","0",31.86144,NaN,,,
D.40.11.031a,ea,"2","0",31.86144,NaN,,,
D.50.12.013a,ea,"1","0",0.3186144,NaN,,,
D.50.12.021a,ea,"1","0",0.00531024,NaN,,,
D.50.12.021a,ea,"2","0",0.00531024,NaN,,,
