ID,Units,Location,Direction,Theta_0,Blocks,Family,Theta_1,Comment
B.10.41.002b,ea,"1,4,6","1,2",40,NaN,,,
B.10.41.002b,ea,"14","1,2",8,NaN,,,
B.10.41.002b,ea,"2,5","1,2",33,NaN,,,
B.10.41.002b,ea,"3,7","1,2",20,NaN,,,
B.10.41.002b,ea,"8,10,12","1,2",50,NaN,,,
B.10.41.002b,ea,"9,11,13","1,2",12,NaN,,,
B.10.49.002a,ea,"1,4,6","0",27,NaN,,,
B.10.49.002a,ea,"14","0",23,NaN,,,
B.10.49.002a,ea,"2,5","0",41,NaN,,,
B.10.49.002a,ea,"3,7","0",25,NaN,,,
B.10.49.002a,ea,"8,10,12","0",46,NaN,,,
B.10.49.002a,ea,"9,11,13","0",4,NaN,,,
B.20.22.001,ft2,"1","1, 2",596.75616,NaN,,,
B.20.22.001,ft2,"10","1, 2",754.008508,NaN,,,
B.20.22.001,ft2,"11","1, 2",231.799513,NaN,,,
B.20.22.001,ft2,"12","1, 2",754.008508,NaN,,,
B.20.22.001,ft2,"13","1, 2",231.799513,NaN,,,
B.20.22.001,ft2,"14","1, 2",412.04592,NaN,,,
B.20.22.001,ft2,"2","1, 2",993.350358,NaN,,,
B.20.22.001,ft2,"3","1, 2",270.588659,NaN,,,
B.20.22.001,ft2,"4","1, 2",596.75616,NaN,,,
B.20.22.001,ft2,"5","1, 2",993.350358,NaN,,,
B.20.22.001,ft2,"6","1, 2",596.75616,NaN,,,
B.20.22.001,ft2,"7","1, 2",270.588659,NaN,,,
B.20.22.001,ft2,"8","1, 2",754.008508,NaN,,,
B.20.22.001,ft2,"9","1, 2",231.799513,NaN,,,
B.30.11.011,ft2,"1","0",3689.03808,NaN,,,
B.30.11.011,ft2,"10","0",4661.143504,NaN,,,
B.30.11.011,ft2,"11","0",1432.942444,NaN,,,
B.30.11.011,ft2,"12","0",4661.143504,NaN,,,
B.30.11.011,ft2,"13","0",1432.942444,NaN,,,
B.30.11.011,ft2,"14","0",2547.19296,NaN,,,
B.30.11.011,ft2,"2","0",6140.711304,NaN,,,
B.30.11.011,ft2,"3","0",1672.729892,NaN,,,
B.30.11.011,ft2,"4","0",3689.03808,NaN,,,
B.30.11.011,ft2,"5","0",6140.711304,NaN,,,
B.30.11.011,ft2,"6","0",3689.03808,NaN,,,
B.30.11.011,ft2,"7","0",1672.729892,NaN,,,
B.30.11.011,ft2,"8","0",4661.143504,NaN,,,
B.30.11.011,ft2,"9","0",1432.942444,NaN,,,
C.10.11.001a,ft,"1","1, 2",303.803136,NaN,,,
C.10.11.001a,ft,"10","1, 2",383.8588768,NaN,,,
C.10.11.001a,ft,"11","1, 2",118.0070248,NaN,,,
C.10.11.001a,ft,"12","1, 2",383.8588768,NaN,,,
C.10.11.001a,ft,"13","1, 2",118.0070248,NaN,,,
C.10.11.001a,ft,"14","1, 2",209.768832,NaN,,,
C.10.11.001a,ft,"2","1, 2",505.7056368,NaN,,,
C.10.11.001a,ft,"3","1, 2",137.7542264,NaN,,,
C.10.11.001a,ft,"4","1, 2",303.803136,NaN,,,
C.10.11.001a,ft,"5","1, 2",505.7056368,NaN,,,
C.10.11.001a,ft,"6","1, 2",303.803136,NaN,,,
C.10.11.001a,ft,"7","1, 2",137.7542264,NaN,,,
C.10.11.001a,ft,"8","1, 2",383.8588768,NaN,,,
C.10.11.001a,ft,"9","1, 2",118.0070248,NaN,,,
C.20.11.001a,ea,"1","1, 2",0.37975392,NaN,,,
C.20.11.001a,ea,"10","1, 2",0.479823596,NaN,,,
C.20.11.001a,ea,"11","1, 2",0.147508781,NaN,,,
C.20.11.001a,ea,"12","1, 2",0.479823596,NaN,,,
C.20.11.001a,ea,"13","1, 2",0.147508781,NaN,,,
C.20.11.001a,ea,"14","1, 2",0.26221104,NaN,,,
C.20.11.001a,ea,"2","1, 2",0.632132046,NaN,,,
C.20.11.001a,ea,"3","1, 2",0.172192783,NaN,,,
C.20.11.001a,ea,"4","1, 2",0.37975392,NaN,,,
C.20.11.001a,ea,"5","1, 2",0.632132046,NaN,,,
C.20.11.001a,ea,"6","1, 2",0.37975392,NaN,,,
C.20.11.001a,ea,"7","1, 2",0.172192783,NaN,,,
C.20.11.001a,ea,"8","1, 2",0.479823596,NaN,,,
C.20.11.001a,ea,"9","1, 2",0.147508781,NaN,,,
C.30.11.001a,ft,"1","1, 2",76.948994304,NaN,,,
C.30.11.001a,ft,"10","1, 2",97.2259697952,NaN,,,
C.30.11.001a,ft,"11","1, 2",29.8894935672,NaN,,,
C.30.11.001a,ft,"12","1, 2",97.2259697952,NaN,,,
C.30.11.001a,ft,"13","1, 2",29.8894935672,NaN,,,
C.30.11.001a,ft,"14","1, 2",53.131448448,NaN,,,
C.30.11.001a,ft,"2","1, 2",128.0880134352,NaN,,,
C.30.11.001a,ft,"3","1, 2",34.8911776296,NaN,,,
C.30.11.001a,ft,"4","1, 2",76.948994304,NaN,,,
C.30.11.001a,ft,"5","1, 2",128.0880134352,NaN,,,
C.30.11.001a,ft,"6","1, 2",76.948994304,NaN,,,
C.30.11.001a,ft,"7","1, 2",34.8911776296,NaN,,,
C.30.11.001a,ft,"8","1, 2",97.2259697952,NaN,,,
C.30.11.001a,ft,"9","1, 2",29.8894935672,NaN,,,
C.30.32.001a,ft2,"1","0",5425.056,NaN,,,
C.30.32.001a,ft2,"10","0",6854.6228,NaN,,,
C.30.32.001a,ft2,"11","0",2107.2683,NaN,,,
C.30.32.001a,ft2,"12","0",6854.6228,NaN,,,
C.30.32.001a,ft2,"13","0",2107.2683,NaN,,,
C.30.32.001a,ft2,"14","0",3745.872,NaN,,,
C.30.32.001a,ft2,"2","0",9030.4578,NaN,,,
C.30.32.001a,ft2,"3","0",2459.8969,NaN,,,
C.30.32.001a,ft2,"4","0",5425.056,NaN,,,
C.30.32.001a,ft2,"5","0",9030.4578,NaN,,,
C.30.32.001a,ft2,"6","0",5425.056,NaN,,,
C.30.32.001a,ft2,"7","0",2459.8969,NaN,,,
C.30.32.001a,ft2,"8","0",6854.6228,NaN,,,
C.30.32.001a,ft2,"9","0",2107.2683,NaN,,,
C.30.34.001,ea,"1","0",162.75168,NaN,,,
C.30.34.001,ea,"10","0",205.638684,NaN,,,
C.30.34.001,ea,"11","0",63.218049,NaN,,,
C.30.34.001,ea,"12","0",205.638684,NaN,,,
C.30.34.001,ea,"13","0",63.218049,NaN,,,
C.30.34.001,ea,"14","0",112.37616,NaN,,,
C.30.34.001,ea,"2","0",270.913734,NaN,,,
C.30.34.001,ea,"3","0",73.796907,NaN,,,
C.30.34.001,ea,"4","0",162.75168,NaN,,,
C.30.34.001,ea,"5","0",270.913734,NaN,,,
C.30.34.001,ea,"6","0",162.75168,NaN,,,
C.30.34.001,ea,"7","0",73.796907,NaN,,,
C.30.34.001,ea,"8","0",205.638684,NaN,,,
C.30.34.001,ea,"9","0",63.218049,NaN,,,
D.10.14.011,ea,"1","0",1.397748454,NaN,,,
D.20.21.011a,ft,"1","0",162.75168,NaN,,,
D.20.21.011a,ft,"10","0",205.638684,NaN,,,
D.20.21.011a,ft,"11","0",63.218049,NaN,,,
D.20.21.011a,ft,"12","0",205.638684,NaN,,,
D.20.21.011a,ft,"13","0",63.218049,NaN,,,
D.20.21.011a,ft,"14","0",112.37616,NaN,,,
D.20.21.011a,ft,"2","0",270.913734,NaN,,,
D.20.21.011a,ft,"3","0",73.796907,NaN,,,
D.20.21.011a,ft,"4","0",162.75168,NaN,,,
D.20.21.011a,ft,"5","0",270.913734,NaN,,,
D.20.21.011a,ft,"6","0",162.75168,NaN,,,
D.20.21.011a,ft,"7","0",73.796907,NaN,,,
D.20.21.011a,ft,"8","0",205.638684,NaN,,,
D.20.21.011a,ft,"9","0",63.218049,NaN,,,
D.30.41.011a,ft,"1","0",271.2528,NaN,,,
D.30.41.011a,ft,"10","0",342.73114,NaN,,,
D.30.41.011a,ft,"11","0",105.363415,NaN,,,
D.30.41.011a,ft,"12","0",342.73114,NaN,,,
D.30.41.011a,ft,"13","0",105.363415,NaN,,,
D.30.41.011a,ft,"14","0",187.2936,NaN,,,
D.30.41.011a,ft,"2","0",451.52289,NaN,,,
D.30.41.011a,ft,"3","0",122.994845,NaN,,,
D.30.41.011a,ft,"4","0",271.2528,NaN,,,
D.30.41.011a,ft,"5","0",451.52289,NaN,,,
D.30.41.011a,ft,"6","0",271.2528,NaN,,,
D.30.41.011a,ft,"7","0",122.994845,NaN,,,
D.30.41.011a,ft,"8","0",342.73114,NaN,,,
D.30.41.011a,ft,"9","0",105.363415,NaN,,,
D.30.41.031a,ea,"1","0",27.12528,NaN,,,
D.30.41.031a,ea,"10","0",34.273114,NaN,,,
D.30.41.031a,ea,"11","0",10.5363415,NaN,,,
D.30.41.031a,ea,"12","0",34.273114,NaN,,,
D.30.41.031a,ea,"13","0",10.5363415,NaN,,,
D.30.41.031a,ea,"14","0",18.72936,NaN,,,
D.30.41.031a,ea,"2","0",45.152289,NaN,,,
D.30.41.031a,ea,"3","0",12.2994845,NaN,,,
D.30.41.031a,ea,"4","0",27.12528,NaN,,,
D.30.41.031a,ea,"5","0",45.152289,NaN,,,
D.30.41.031a,ea,"6","0",27.12528,NaN,,,
D.30.41.031a,ea,"7","0",12.2994845,NaN,,,
D.30.41.031a,ea,"8","0",34.273114,NaN,,,
D.30.41.031a,ea,"9","0",10.5363415,NaN,,,
D.30.41.041a,ea,"1","0",21.700224,NaN,,,
D.30.41.041a,ea,"10","0",27.4184912,NaN,,,
D.30.41.041a,ea,"11","0",8.4290732,NaN,,,
D.30.41.041a,ea,"12","0",27.4184912,NaN,,,
D.30.41.041a,ea,"13","0",8.4290732,NaN,,,
D.30.41.041a,ea,"14","0",14.983488,NaN,,,
D.30.41.041a,ea,"2","0",36.1218312,NaN,,,
D.30.41.041a,ea,"3","0",9.8395876,NaN,,,
D.30.41.041a,ea,"4","0",21.700224,NaN,,,
D.30.41.041a,ea,"5","0",36.1218312,NaN,,,
D.30.41.041a,ea,"6","0",21.700224,NaN,,,
D.30.41.041a,ea,"7","0",9.8395876,NaN,,,
D.30.41.041a,ea,"8","0",27.4184912,NaN,,,
D.30.41.041a,ea,"9","0",8.4290732,NaN,,,
D.40.11.021a,ft,"1","0",976.51008,NaN,,,
D.40.11.021a,ft,"10","0",1233.832104,NaN,,,
D.40.11.021a,ft,"11","0",379.308294,NaN,,,
D.40.11.021a,ft,"12","0",1233.832104,NaN,,,
D.40.11.021a,ft,"13","0",379.308294,NaN,,,
D.40.11.021a,ft,"14","0",674.25696,NaN,,,
D.40.11.021a,ft,"2","0",1625.482404,NaN,,,
D.40.11.021a,ft,"3","0",442.781442,NaN,,,
D.40.11.021a,ft,"4","0",976.51008,NaN,,,
D.40.11.021a,ft,"5","0",1625.482404,NaN,,,
D.40.11.021a,ft,"6","0",976.51008,NaN,,,
D.40.11.021a,ft,"7","0",442.781442,NaN,,,
D.40.11.021a,ft,"8","0",1233.832104,NaN,,,
D.40.11.021a,ft,"9","0",379.308294,NaN,,,
D.40.11.031a,ea,"1","0",43.400448,NaN,,,
D.40.11.031a,ea,"10","0",54.8369824,NaN,,,
D.40.11.031a,ea,"11","0",16.8581464,NaN,,,
D.40.11.031a,ea,"12","0",54.8369824,NaN,,,
D.40.11.031a,ea,"13","0",16.8581464,NaN,,,
D.40.11.031a,ea,"14","0",29.966976,NaN,,,
D.40.11.031a,ea,"2","0",72.2436624,NaN,,,
D.40.11.031a,ea,"3","0",19.6791752,NaN,,,
D.40.11.031a,ea,"4","0",43.400448,NaN,,,
D.40.11.031a,ea,"5","0",72.2436624,NaN,,,
