ID,Units,Location,Direction,Theta_0,Blocks,Family,Theta_1,Comment
B.10.33.072b,ea,11,"1",1,NaN,,,
B.10.33.072b,ea,11,"2",1,NaN,,,
B.10.33.072b,ea,14,"1",1,NaN,,,
B.10.33.072b,ea,14,"2",1,NaN,,,
B.10.33.072b,ea,17,"1",1,NaN,,,
B.10.33.072b,ea,17,"2",1,NaN,,,
B.10.33.072b,ea,2,"1",1,NaN,,,
B.10.33.072b,ea,2,"2",1,NaN,,,
B.10.33.072b,ea,20,"1",1,NaN,,,
B.10.33.072b,ea,20,"2",1,NaN,,,
B.10.33.072b,ea,5,"1",1,NaN,,,
B.10.33.072b,ea,5,"2",1,NaN,,,
B.10.33.072b,ea,8,"1",1,NaN,,,
B.10.33.072b,ea,8,"2",1,NaN,,,
B.10.33.073c,ea,1,"1",2,NaN,,,
B.10.33.073c,ea,1,"2",2,NaN,,,
B.10.33.073c,ea,10,"1",2,NaN,,,
B.10.33.073c,ea,10,"2",2,NaN,,,
B.10.33.073c,ea,12,"1",2,NaN,,,
B.10.33.073c,ea,12,"2",2,NaN,,,
B.10.33.073c,ea,13,"1",2,NaN,,,
B.10.33.073c,ea,13,"2",2,NaN,,,
B.10.33.073c,ea,15,"1",2,NaN,,,
B.10.33.073c,ea,15,"2",2,NaN,,,
B.10.33.073c,ea,16,"1",2,NaN,,,
B.10.33.073c,ea,16,"2",2,NaN,,,
B.10.33.073c,ea,18,"1",2,NaN,,,
B.10.33.073c,ea,18,"2",2,NaN,,,
B.10.33.073c,ea,19,"1",2,NaN,,,
B.10.33.073c,ea,19,"2",2,NaN,,,
B.10.33.073c,ea,21,"1",2,NaN,,,
B.10.33.073c,ea,21,"2",2,NaN,,,
B.10.33.073c,ea,3,"1",2,NaN,,,
B.10.33.073c,ea,3,"2",2,NaN,,,
B.10.33.073c,ea,4,"1",2,NaN,,,
B.10.33.073c,ea,4,"2",2,NaN,,,
B.10.33.073c,ea,6,"1",2,NaN,,,
B.10.33.073c,ea,6,"2",2,NaN,,,
B.10.33.073c,ea,7,"1",2,NaN,,,
B.10.33.073c,ea,7,"2",2,NaN,,,
B.10.33.073c,ea,9,"1",2,NaN,,,
B.10.33.073c,ea,9,"2",2,NaN,,,
B.10.35.021,ea,1,"1",14,NaN,,,
B.10.35.021,ea,1,"2",11,NaN,,,
B.10.35.021,ea,10,"1",12,NaN,,,
B.10.35.021,ea,10,"2",13,NaN,,,
B.10.35.021,ea,11,"1",30,NaN,,,
B.10.35.021,ea,11,"2",25,NaN,,,
B.10.35.021,ea,12,"1",14,NaN,,,
B.10.35.021,ea,12,"2",11,NaN,,,
B.10.35.021,ea,13,"1",14,NaN,,,
B.10.35.021,ea,13,"2",11,NaN,,,
B.10.35.021,ea,14,"1",26,NaN,,,
B.10.35.021,ea,14,"2",27,NaN,,,
B.10.35.021,ea,15,"1",12,NaN,,,
B.10.35.021,ea,15,"2",13,NaN,,,
B.10.35.021,ea,16,"1",12,NaN,,,
B.10.35.021,ea,16,"2",13,NaN,,,
B.10.35.021,ea,17,"1",28,NaN,,,
B.10.35.021,ea,17,"2",25,NaN,,,
