Row,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PFA-5-1,1-PFA-5-2,1-PFA-6-1,1-PFA-6-2,1-PFA-7-1,1-PFA-7-2,1-PFA-8-1,1-PFA-8-2,1-PFA-9-1,1-PFA-9-2,1-PFA-10-1,1-PFA-10-2,1-PFA-11-1,1-PFA-11-2,1-PFA-12-1,1-PFA-12-2,1-PFA-13-1,1-PFA-13-2,1-PFA-14-1,1-PFA-14-2,1-PFA-15-1,1-PFA-15-2,1-PFA-16-1,1-PFA-16-2,1-PFA-17-1,1-PFA-17-2,1-PFA-18-1,1-PFA-18-2,1-PFA-19-1,1-PFA-19-2,1-PFA-20-1,1-PFA-20-2,1-PFA-21-1,1-PFA-21-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-PID-5-1,1-PID-5-2,1-PID-6-1,1-PID-6-2,1-PID-7-1,1-PID-7-2,1-PID-8-1,1-PID-8-2,1-PID-9-1,1-PID-9-2,1-PID-10-1,1-PID-10-2,1-PID-11-1,1-PID-11-2,1-PID-12-1,1-PID-12-2,1-PID-13-1,1-PID-13-2,1-PID-14-1,1-PID-14-2,1-PID-15-1,1-PID-15-2,1-PID-16-1,1-PID-16-2,1-PID-17-1,1-PID-17-2,1-PID-18-1,1-PID-18-2,1-PID-19-1,1-PID-19-2,1-PID-20-1,1-PID-20-2,1-PID-21-1,1-PID-21-2,1-RID-1-1,1-SA_4.20-0-1
0,9.637344,9.730539,8.314956,8.131509,8.038314,8.303184,9.311652,8.988903,5.79771,7.456581,5.479866,7.809741,14.888637,10.460403,5.16987,5.521068,4.220262,5.330754,7.920594,9.845316,4.397823,5.432778,4.338963,5.45436,5.959575,7.991226,3.814128,4.395861,4.109409,4.325229,6.596244,9.228267,3.951468,3.617928,4.309533,3.280464,4.018176,3.926943,4.074093,4.327191,4.548897,4.693104,4.516524,7.186806,0.05913,0.06268,0.09878,0.08498,0.1362,0.1051,0.1533,0.06309,0.02777,0.02967,0.1274,0.05593,0.148,0.1361,0.02675,0.02346,0.0859,0.1001,0.09157,0.08986,0.0243,0.02175,0.02819,0.02559,0.02796,0.1984,0.02313,0.02337,0.06769,0.05638,0.1494,0.05895,0.0173,0.02088,0.05819,0.1386,0.06686,0.05755,0.01432,0.01931,0.01597,0.0224,0.187,4.905
1,7.76952,7.776387,7.278039,7.293735,6.311754,7.252533,12.304683,12.492054,6.375519,4.801014,5.518125,5.009967,14.232348,8.197236,4.495923,5.24835,5.240502,4.867722,21.889053,12.392973,5.312115,4.148649,5.181642,3.347172,7.652781,8.053029,5.937993,4.204566,4.633263,3.595365,4.848102,8.640648,4.553802,3.64932,4.467474,3.493341,5.106105,8.111889,3.68856,3.455082,4.481208,3.797451,7.457562,4.74804,0.05627,0.08242,0.06758,0.07366,0.07717,0.07021,0.08405,0.0945,0.02295,0.04481,0.0424,0.05574,0.04069,0.08942,0.02255,0.03693,0.06315,0.03087,0.1573,0.07978,0.02119,0.03451,0.02517,0.05914,0.03759,0.06482,0.01943,0.03133,0.04562,0.07417,0.02133,0.03977,0.01816,0.02625,0.04053,0.07741,0.02257,0.0491,0.01331,0.02524,0.01518,0.02974,0.05178,4.905
2,8.300241,8.298279,9.373455,8.517042,8.557263,7.914708,9.338139,15.901029,6.665895,7.538004,5.865399,8.459163,8.643591,14.069502,6.975891,7.430094,6.492258,7.392816,9.983637,7.85781,6.591339,6.617826,5.17968,6.617826,6.223464,7.863696,4.933449,6.061599,4.438044,4.246749,7.273134,9.48627,4.193775,4.206528,5.217939,4.693104,8.01477,5.886981,3.967164,5.620149,4.890285,6.676686,6.657066,7.452657,0.05156,0.02714,0.07005,0.02829,0.05061,0.05173,0.1156,0.03837,0.0294,0.02071,0.02677,0.02812,0.05191,0.05038,0.02398,0.01277,0.02708,0.01341,0.06777,0.02098,0.02376,0.01703,0.0388,0.02961,0.03087,0.0652,0.02113,0.01911,0.03899,0.02706,0.07972,0.03252,0.01582,0.0185,0.01922,0.05175,0.01967,0.05399,0.01203,0.01384,0.01352,0.01336,0.02851,4.905
3,8.981055,7.940214,7.638066,7.01415,6.848361,6.48441,14.926896,12.786354,5.33664,7.37712,4.740192,6.038055,12.652938,12.76281,4.432158,5.368032,4.44393,4.538106,15.978528,12.932523,4.601871,4.641111,4.381146,3.889665,8.218818,6.594282,4.343868,3.638529,5.002119,3.164706,5.379804,5.06196,3.797451,3.414861,3.692484,3.270654,12.492054,5.260122,4.270293,3.719952,5.53284,4.11039,9.402885,6.197958,0.05073,0.04962,0.05704,0.05236,0.04803,0.05033,0.08193,0.05767,0.02515,0.02747,0.0305,0.06234,0.03903,0.04077,0.02654,0.02601,0.03583,0.0217,0.08732,0.04303,0.02078,0.01929,0.03892,0.0378,0.04069,0.04132,0.01958,0.02029,0.03909,0.04315,0.03974,0.04065,0.01742,0.01698,0.03807,0.01776,0.03923,0.07992,0.01242,0.01276,0.02499,0.02636,0.03907,4.905
4,7.675344,7.745976,8.977131,7.223103,8.769159,7.178958,19.34532,14.34222,6.607035,7.719489,6.920955,8.237457,10.574199,9.328329,6.429474,6.125364,5.34645,5.223825,12.930561,10.864575,6.559947,5.123763,6.100839,4.790223,9.202761,9.26064,5.01291,4.645035,4.476303,4.588137,11.351151,6.890544,4.504752,3.850425,4.251654,3.410937,10.478061,5.364108,4.541049,4.43412,5.468094,4.974651,6.314697,7.060257,0.02924,0.03909,0.02978,0.0328,0.03676,0.02932,0.05193,0.05475,0.02204,0.02635,0.05646,0.0334,0.06501,0.07533,0.02111,0.02671,0.03824,0.03512,0.03997,0.05469,0.01889,0.02531,0.02108,0.03779,0.02007,0.04145,0.01599,0.02285,0.06556,0.0665,0.03265,0.06456,0.01368,0.01763,0.03041,0.07507,0.03237,0.03983,0.009699,0.01664,0.009717,0.01855,0.01651,4.905
5,6.19992,5.901696,6.32745,6.058656,5.453379,5.441607,9.32931,10.270089,5.684895,4.333077,5.329773,4.733325,15.425244,16.179633,6.24897,5.271894,5.735907,4.612662,8.90748,9.650097,3.709161,4.289913,4.322286,4.25754,32.694768,17.477496,4.412538,3.324609,3.711123,3.900456,9.413676,6.661971,3.704256,4.210452,4.401747,3.807261,8.433657,10.975428,3.606156,3.79647,4.484151,4.702914,6.178338,5.690781,0.04273,0.06368,0.04544,0.03668,0.02866,0.0395,0.1099,0.06677,0.02523,0.0323,0.06618,0.08763,0.1051,0.1757,0.02326,0.02817,0.02726,0.09195,0.074,0.09913,0.01974,0.0246,0.02119,0.088,0.03096,0.1926,0.01698,0.02045,0.01754,0.05384,0.1088,0.06034,0.0162,0.01779,0.01681,0.05713,0.01617,0.06118,0.01221,0.01781,0.01311,0.02026,0.08046,4.905
6,5.704515,5.657427,6.092991,6.305868,6.214635,5.765337,9.227286,8.422866,5.855589,5.301324,5.225787,5.24835,5.784957,7.996131,5.465151,4.932468,4.213395,4.449816,5.320944,7.446771,5.843817,4.75785,5.082561,4.781394,16.60833,10.44765,3.947544,3.234357,4.94424,3.400146,8.639667,8.885898,3.713085,3.598308,4.300704,3.539448,4.474341,5.943879,3.764097,3.574764,5.330754,4.323267,7.492878,4.956993,0.06349,0.03522,0.07862,0.02923,0.09963,0.039,0.07471,0.05728,0.02644,0.02734,0.02729,0.03258,0.04284,0.08208,0.02441,0.02663,0.02601,0.02421,0.04036,0.05078,0.02303,0.02393,0.06245,0.03495,0.04739,0.07028,0.02095,0.02335,0.02699,0.03469,0.05177,0.03779,0.01571,0.01798,0.023,0.05651,0.02733,0.03197,0.01222,0.01517,0.01329,0.01681,0.04823,4.905
7,17.234208,15.387966,16.883991,15.171165,18.360396,14.468769,15.879447,17.620722,9.956169,9.024219,9.655983,7.50465,11.123559,7.519365,9.425448,5.629959,8.526852,4.815729,7.617465,7.048485,7.167186,5.81733,7.017093,5.151231,14.641425,6.958233,5.724135,4.549878,5.988024,3.661092,7.74009,4.501809,4.533201,3.803337,6.402987,4.170231,18.279954,11.447289,5.123763,3.556125,6.314697,3.516885,10.739988,5.262084,0.04323,0.02799,0.04091,0.02493,0.06139,0.04137,0.03119,0.02494,0.02475,0.02084,0.04452,0.03429,0.04598,0.03481,0.02787,0.01954,0.03623,0.03261,0.06371,0.05125,0.02139,0.01475,0.02681,0.01579,0.04078,0.03864,0.0188,0.01476,0.03499,0.04177,0.03546,0.03116,0.01588,0.01056,0.0496,0.04339,0.03527,0.04562,0.01248,0.009085,0.03097,0.01998,0.02033,4.905
8,13.984155,20.695176,15.514515,18.40356,14.750316,18.552672,20.866851,21.064032,10.245564,11.639565,9.754083,11.823012,16.499439,12.735342,11.532636,9.448992,10.479042,9.646173,12.523446,23.649948,10.214172,9.149787,8.400303,8.091288,13.441662,12.312531,8.406189,7.128927,8.857449,6.737508,8.925138,11.604249,7.466391,7.350633,8.626914,7.613541,16.934022,11.260899,4.412538,5.4936,6.686496,6.594282,9.964998,10.524168,0.02347,0.04316,0.0284,0.03285,0.03168,0.03146,0.04782,0.04889,0.02081,0.02629,0.02737,0.03155,0.03304,0.04443,0.01928,0.02205,0.02999,0.03933,0.04713,0.04877,0.02241,0.01988,0.03003,0.02838,0.0345,0.04774,0.02166,0.02155,0.0264,0.02657,0.04583,0.02855,0.01535,0.01785,0.04324,0.07601,0.03714,0.02271,0.01183,0.01935,0.0112,0.01957,0.02205,4.905
9,47.247903,55.184193,38.41596,58.733451,32.152275,41.708196,18.938205,24.096303,12.677463,17.799264,12.529332,16.882029,26.423235,20.690271,11.544408,12.907017,8.964378,13.034547,12.266424,26.215263,11.229507,10.763532,10.953846,10.27107,35.569098,24.239529,7.752843,10.250469,5.259141,8.300241,20.874699,37.891125,8.658306,8.070687,9.547092,7.803855,20.372427,10.580085,7.831323,6.446151,8.189388,8.010846,18.06021,16.278714,0.08719,0.09394,0.1266,0.09176,0.1776,0.0893,0.04787,0.05924,0.03035,0.03954,0.04052,0.05506,0.05352,0.05483,0.02488,0.03571,0.03644,0.04325,0.03342,0.05536,0.03242,0.02858,0.04318,0.04204,0.03614,0.03874,0.03114,0.02538,0.03634,0.04706,0.03396,0.04821,0.02207,0.02332,0.04538,0.04981,0.03553,0.05544,0.01943,0.02481,0.03118,0.03049,0.1634,4.905
10,30.943683,32.089491,31.45086,28.995417,26.736174,23.768649,33.655167,29.611485,13.652577,17.390187,13.68495,13.858587,24.386679,27.932994,12.110445,13.517199,9.194913,11.318778,15.541983,17.065476,7.813665,13.377897,7.855848,10.921473,25.366698,12.758886,9.255735,7.315317,7.137756,8.99577,10.306386,15.252588,6.260742,10.211229,8.530776,7.971606,35.818272,15.132906,7.05339,6.346089,7.495821,8.531757,20.019267,14.6169,0.05404,0.08306,0.07072,0.0795,0.1034,0.07909,0.04284,0.06148,0.02661,0.03544,0.04221,0.05405,0.06113,0.039,0.025,0.02753,0.03617,0.04212,0.0285,0.0487,0.02328,0.02733,0.0317,0.03994,0.0393,0.03859,0.02484,0.02424,0.03089,0.03271,0.03151,0.04056,0.02022,0.02662,0.04309,0.03548,0.03816,0.03819,0.01995,0.02364,0.02397,0.02781,0.06843,4.905
11,20.795238,13.273911,17.008578,12.567591,18.07002,10.968561,13.432833,18.715518,5.045283,6.05277,5.898753,5.47398,5.109048,4.960917,3.367773,4.021119,2.914551,4.164345,9.288108,12.766734,2.631042,3.924981,2.639871,3.1392,4.487094,8.409132,2.764458,3.025404,2.149371,3.017556,4.731363,5.943879,2.695788,2.991069,2.402469,3.128409,4.509657,6.164604,3.000879,3.702294,2.967525,3.380526,3.859254,9.347949,0.09223,0.1731,0.1826,0.2825,0.1533,0.2031,0.09786,0.1271,0.0164,0.07026,0.05175,0.1228,0.03167,0.08933,0.01454,0.05714,0.05236,0.05343,0.05891,0.09711,0.01935,0.05148,0.04907,0.05429,0.06134,0.05304,0.01656,0.04778,0.05122,0.1042,0.04932,0.05423,0.01353,0.04562,0.0703,0.1,0.04954,0.1068,0.01156,0.04482,0.04526,0.0359,0.2802,4.905
12,13.661406,15.956946,13.071825,17.647209,10.484928,14.738544,9.81981,17.289144,7.771482,12.063357,6.688458,10.341702,14.344182,10.92834,6.197958,10.175913,5.214015,9.688356,7.30845,10.393695,5.981157,7.163262,5.726097,7.513479,9.150768,26.752851,7.085763,5.649579,4.83633,5.133573,11.0853,12.997269,4.76766,6.120459,5.029587,5.064903,5.903658,5.904639,5.2974,5.863437,5.176737,6.795387,9.374436,8.5347,0.07446,0.03633,0.1257,0.0382,0.1163,0.04013,0.1205,0.04063,0.03202,0.02061,0.03927,0.06085,0.06996,0.05606,0.028,0.01751,0.03067,0.08716,0.07499,0.09757,0.02688,0.01958,0.04185,0.02673,0.03185,0.05775,0.02458,0.02107,0.03813,0.03323,0.06899,0.03792,0.01769,0.02149,0.02119,0.05854,0.03165,0.02942,0.01533,0.0164,0.01572,0.01854,0.1198,4.905
13,6.115554,7.283925,5.112972,7.341804,5.401386,6.79833,8.654382,8.077554,5.018796,4.520448,4.912848,4.577346,8.334576,11.82105,3.572802,4.476303,3.196098,3.623814,3.592422,6.33726,3.47274,3.784698,2.639871,3.729762,4.878513,4.604814,3.952449,3.470778,4.212414,3.206889,5.907582,5.044302,3.500208,3.60027,2.987145,3.320685,4.028967,3.954411,2.459367,3.380526,3.271635,3.900456,7.256457,4.979556,0.02612,0.07155,0.0232,0.05373,0.02602,0.0559,0.03509,0.04851,0.0182,0.03584,0.05149,0.04294,0.04506,0.06636,0.01949,0.03387,0.0219,0.0386,0.05573,0.04796,0.02008,0.03149,0.02995,0.03885,0.04001,0.04023,0.01745,0.03031,0.04495,0.0346,0.02136,0.03572,0.01261,0.02534,0.04221,0.04261,0.03601,0.0447,0.009661,0.01982,0.02886,0.02782,0.03984,4.905
