Row,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-RID-1-1,1-SA_1.13-0-1
0,6.664,2.842,8.918,4.998,7.35,4.116,7.252,5.586,0.036131,0.016667,0.057754,0.026087,0.063986,0.027536,0.0073043,8.4378
1,10.192,8.134,9.898,14.504,8.134,12.838,8.428,9.212,0.052321,0.024405,0.075362,0.031449,0.072609,0.039855,0.0085797,8.4378
2,5.88,5.488,10.682,9.408,8.82,10.094,8.036,6.664,0.017381,0.022976,0.022391,0.031522,0.02529,0.037391,0.0033478,8.4378
3,4.704,4.41,6.468,4.508,6.86,4.508,9.898,7.056,0.033512,0.037083,0.047174,0.060435,0.047899,0.063913,0.0058406,8.4378
4,11.858,7.252,17.836,10.388,11.76,8.134,11.074,9.114,0.013095,0.022917,0.033986,0.036304,0.041087,0.041232,0.0049638,8.4378
5,5.39,5.096,5.096,5.978,6.076,4.998,4.704,5.194,0.042024,0.020476,0.059783,0.032101,0.056884,0.031232,0.0081594,8.4378
6,7.742,5.292,8.428,5.39,7.84,4.704,6.566,5.194,0.023631,0.026667,0.042609,0.04,0.042609,0.038043,0.0049275,8.4378
7,9.016,8.918,8.134,11.27,6.174,8.82,6.664,6.958,0.034464,0.061429,0.05029,0.087391,0.04913,0.08442,0.0056159,8.4378
8,7.938,6.566,9.8,12.936,8.722,10.29,8.232,8.428,0.014345,0.016905,0.029348,0.023406,0.034565,0.02971,0.0038261,8.4378
9,8.428,7.154,18.032,9.114,13.034,6.272,9.408,7.154,0.011607,0.019226,0.021232,0.037754,0.027391,0.046739,0.0030435,8.4378
10,6.86,4.116,9.8,5.978,11.27,6.664,8.722,6.468,0.018095,0.01244,0.020507,0.02413,0.023333,0.03029,0.002558,8.4378
